"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Cotización de las divisas que conforman la canasta del DEG y del DEG respecto al Peso mexicano"

"Fecha de consulta: 27/05/2020 04:43:18"

""

"Título","Cotización de las divisas que conforman la canasta del DEG, Respecto al peso mexicano, Dólar EUA","Cotización de las divisas que conforman la canasta del DEG, Respecto al peso mexicano, Euro","Cotización de las divisas que conforman la canasta del DEG, Respecto al peso mexicano, Yen japonés","Cotización de las divisas que conforman la canasta del DEG, Respecto al peso mexicano, Libra esterlina","Cotización de las divisas que conforman la canasta del DEG 1/ y del DEG respecto al Peso mexicano 2/, Yuan chino","Derecho Especial de Giro (DEG)"
"Periodo disponible","16/10/1996 - 27/05/2020","04/01/1999 - 27/05/2020","16/10/1996 - 27/05/2020","16/10/1996 - 27/05/2020","28/02/2011 - 27/05/2020","16/10/1996 - 27/05/2020"
"Periodicidad","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria"
"Cifra","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio"
"Unidad","Pesos","Pesos","Pesos","Pesos","Pesos","Pesos"
"Base","","","","","",""
"Aviso","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF46405","SF46410","SF46406","SF46407","SF290383","SF46411"
11/07/2019,19.1227,21.5561,0.1768,24.0181,2.7837,26.4761
12/07/2019,19.0307,21.4267,0.1757,23.8493,2.7646,26.3244
15/07/2019,18.9803,21.4060,0.1759,23.8127,2.7609,26.2829
16/07/2019,19.0781,21.4123,0.1767,23.6912,2.7736,26.3548
17/07/2019,19.0233,21.3413,0.1757,23.5984,2.7651,26.2671
18/07/2019,19.0108,21.3149,0.1763,23.7169,2.7614,26.2621
19/07/2019,19.0123,21.3670,0.1767,23.8471,2.7638,26.3020
22/07/2019,19.0659,21.3948,0.1767,23.7714,2.7714,26.3458
23/07/2019,19.1315,21.3900,0.1770,23.8388,2.7800,26.3992
24/07/2019,19.0894,21.2923,0.1767,23.8971,2.7760,26.3347
25/07/2019,19.0623,21.2344,0.1764,23.8183,2.7723,26.2826
26/07/2019,19.0699,21.2296,0.1755,23.7010,2.7720,26.2638
29/07/2019,19.0900,21.2357,0.1757,23.5151,2.7688,26.2615
30/07/2019,19.0747,21.2626,0.1756,23.2130,2.7705,26.2375
31/07/2019,18.9929,21.1714,0.1750,23.1049,2.7565,26.1232
01/08/2019,19.1627,21.1432,0.1758,23.1926,2.7730,26.2458
02/08/2019,19.3116,21.4310,0.1807,23.3786,2.7723,26.5175
05/08/2019,19.5731,21.8602,0.1845,23.8087,2.7606,26.9060
06/08/2019,19.6291,21.9875,0.1846,23.9141,2.7767,27.0141
07/08/2019,19.6953,22.0302,0.1854,23.9042,2.7813,27.0827
08/08/2019,19.5118,21.8513,0.1839,23.7107,2.7586,26.8492
09/08/2019,19.4283,21.7665,0.1837,23.4849,2.7425,26.7291
12/08/2019,19.5803,21.9231,0.1862,23.6657,2.7573,26.9394
13/08/2019,19.4630,21.8307,0.1850,23.5230,2.7438,26.7945
14/08/2019,19.5763,21.8853,0.1844,23.6854,2.7819,26.9275
15/08/2019,19.6365,21.9035,0.1856,23.7464,2.7807,26.9881
16/08/2019,19.5669,21.6752,0.1840,23.7934,2.7765,26.8390
19/08/2019,19.8153,22.0118,0.1859,24.0221,2.8087,27.1896
20/08/2019,19.7522,21.8884,0.1858,23.8508,2.7929,27.0728
21/08/2019,19.6798,21.8485,0.1849,23.8578,2.7831,26.9949
22/08/2019,19.7467,21.8547,0.1855,23.9695,2.7845,27.0549
23/08/2019,19.8402,21.9323,0.1861,24.2408,2.7973,27.1822
26/08/2019,19.9086,22.1364,0.1881,24.3711,2.7824,27.3215
27/08/2019,19.9934,22.2097,0.1889,24.4999,2.7898,27.4277
28/08/2019,20.0314,22.2218,0.1894,24.4583,2.7949,27.4618
29/08/2019,20.0988,22.2544,0.1891,24.5135,2.8114,27.5316
30/08/2019,20.0696,22.1598,0.1886,24.4408,2.8074,27.4620
02/09/2019,20.1253,22.0734,0.1894,24.2771,2.8048,27.4533
03/09/2019,20.0039,21.8813,0.1884,24.0667,2.7852,27.2588
04/09/2019,19.7806,21.7923,0.1862,24.1521,2.7655,27.0552
05/09/2019,19.6834,21.7630,0.1846,24.2805,2.7563,26.9696
06/09/2019,19.5623,21.5772,0.1829,24.0577,2.7508,26.7820
09/09/2019,19.5398,21.5436,0.1826,24.1815,2.7437,26.7566
10/09/2019,19.5354,21.5642,0.1819,24.0969,2.7489,26.7517
11/09/2019,19.5478,21.5172,0.1815,24.1494,2.7490,26.7407
12/09/2019,19.4265,21.4167,0.1801,23.9344,2.7437,26.5897
13/09/2019,19.3665,21.4823,0.1793,24.1161,2.7503,26.5935
17/09/2019,19.4262,21.4154,0.1796,24.0963,2.7384,26.5926
18/09/2019,19.3528,21.3742,0.1789,24.1194,2.7314,26.5195
19/09/2019,19.3981,21.4659,0.1797,24.1516,2.7344,26.5974
20/09/2019,19.4478,21.4752,0.1801,24.3117,2.7454,26.6596
23/09/2019,19.4459,21.3594,0.1810,24.1703,2.7310,26.5969
24/09/2019,19.4587,21.3822,0.1807,24.2154,2.7385,26.6213
25/09/2019,19.5775,21.5245,0.1824,24.3094,2.7475,26.7833
26/09/2019,19.6363,21.4635,0.1825,24.2361,2.7550,26.7968
27/09/2019,19.6808,21.5278,0.1821,24.2202,2.7637,26.8495
30/09/2019,19.7345,21.5540,0.1829,24.2754,2.7628,26.9042
01/10/2019,19.7792,21.5603,0.1827,24.3344,2.7671,26.9397
02/10/2019,19.7985,21.6219,0.1840,24.2581,2.7658,26.9832
03/10/2019,19.7368,21.6266,0.1843,24.2615,2.7668,26.9540
04/10/2019,19.5255,21.4546,0.1830,24.0867,2.7404,26.7063
07/10/2019,19.5522,21.4673,0.1829,24.1079,2.7402,26.7281
08/10/2019,19.5840,21.5228,0.1833,23.9277,2.7388,26.7553
09/10/2019,19.5689,21.4876,0.1822,23.9210,2.7440,26.7251
10/10/2019,19.4764,21.4766,0.1813,23.8508,2.7345,26.6401
11/10/2019,19.3217,21.3244,0.1784,24.2729,2.7229,26.4814
14/10/2019,19.2652,21.2408,0.1777,24.2404,2.7257,26.4076
15/10/2019,19.2520,21.2061,0.1779,24.3480,2.7173,26.3894
16/10/2019,19.2135,21.1877,0.1767,24.5116,2.7037,26.3460
17/10/2019,19.1602,21.2956,0.1761,24.6745,2.7072,26.3667
18/10/2019,19.1492,21.3188,0.1762,24.6929,2.7030,26.3683
21/10/2019,19.1422,21.3675,0.1763,24.8437,2.7084,26.4025
22/10/2019,19.1050,21.2858,0.1760,24.7563,2.6993,26.3284
23/10/2019,19.1258,21.2459,0.1763,24.5986,2.7037,26.3204
24/10/2019,19.0878,21.2419,0.1757,24.6070,2.6989,26.2850
25/10/2019,19.0820,21.2077,0.1757,24.4879,2.6993,26.2585
28/10/2019,19.0543,21.1465,0.1752,24.4495,2.6980,26.2087
29/10/2019,19.1167,21.1861,0.1756,24.5669,2.7072,26.2839
30/10/2019,19.1643,21.2992,0.1761,24.7124,2.7162,26.3828
31/10/2019,19.1948,21.4003,0.1774,24.8755,2.7232,26.4771
01/11/2019,19.1058,21.3135,0.1769,24.7688,2.7130,26.3663
04/11/2019,19.1525,21.3828,0.1766,24.7441,2.7242,26.4260
05/11/2019,19.2125,21.3576,0.1766,24.7995,2.7459,26.4769
06/11/2019,19.1953,21.2732,0.1761,24.7331,2.7415,26.4187
07/11/2019,19.1327,21.1933,0.1753,24.5425,2.7439,26.3282
08/11/2019,19.1068,21.0729,0.1746,24.4624,2.7354,26.2429
11/11/2019,19.1090,21.0705,0.1754,24.5197,2.7259,26.2474
12/11/2019,19.2178,21.1723,0.1760,24.6660,2.7423,26.3861
13/11/2019,19.4543,21.4182,0.1786,24.9657,2.7698,26.7042
14/11/2019,19.4228,21.3476,0.1787,24.9321,2.7650,26.6525
15/11/2019,19.2063,21.1894,0.1768,24.7339,2.7399,26.3993
19/11/2019,19.3687,21.4547,0.1782,25.0602,2.7566,26.6581
20/11/2019,19.4800,21.5400,0.1796,25.1214,2.7670,26.7885
21/11/2019,19.4138,21.5192,0.1787,25.1438,2.7614,26.7279
22/11/2019,19.3987,21.4647,0.1788,24.9816,2.7545,26.6775
25/11/2019,19.4468,21.4216,0.1786,25.0329,2.7654,26.7026
26/11/2019,19.5185,21.5045,0.1792,25.1262,2.7728,26.7984
27/11/2019,19.5607,21.5314,0.1793,25.2137,2.7852,26.8549
28/11/2019,19.6113,21.5852,0.1790,25.3045,2.7885,26.9135
29/11/2019,19.5352,21.5395,0.1784,25.2688,2.7789,26.8310
02/12/2019,19.5717,21.5445,0.1787,25.2827,2.7787,26.8585
03/12/2019,19.5678,21.6723,0.1798,25.4235,2.7700,26.9221
04/12/2019,19.4707,21.5541,0.1792,25.4326,2.7601,26.8037
05/12/2019,19.3688,21.4829,0.1779,25.4409,2.7508,26.6924
06/12/2019,19.3247,21.4369,0.1780,25.3733,2.7494,26.6427
09/12/2019,19.2302,21.2946,0.1773,25.3243,2.7332,26.5039
10/12/2019,19.2362,21.3214,0.1772,25.3466,2.7333,26.5183
11/12/2019,19.1785,21.2527,0.1764,25.2188,2.7247,26.4297
13/12/2019,19.0455,21.2843,0.1737,25.5000,2.7296,26.3607
16/12/2019,18.9702,21.1413,0.1733,25.3660,2.7099,26.2257
17/12/2019,18.9165,21.1127,0.1726,24.9830,2.7041,26.1361
18/12/2019,18.9542,21.0922,0.1731,24.8300,2.7085,26.1470
19/12/2019,18.9640,21.1041,0.1732,24.8296,2.7081,26.1585
20/12/2019,18.9133,20.9890,0.1729,24.6242,2.7012,26.0565
23/12/2019,18.9385,20.9858,0.1731,24.5860,2.7029,26.0704
24/12/2019,18.9643,21.0314,0.1734,24.5834,2.7070,26.1110
26/12/2019,18.9445,21.0312,0.1727,24.6354,2.7095,26.0982
27/12/2019,18.8452,21.0077,0.1721,24.6476,2.6944,26.0093
30/12/2019,18.8727,21.1223,0.1729,24.7638,2.7030,26.0977
31/12/2019,18.8642,21.1751,0.1736,24.9903,2.7084,26.1463
02/01/2020,18.8817,21.1201,0.1736,24.9210,2.7118,26.1328
03/01/2020,18.8673,21.0002,0.1747,24.6350,2.7065,26.0609
06/01/2020,18.8270,21.0928,0.1742,24.7669,2.7020,26.0748
07/01/2020,18.8852,21.1174,0.1742,24.8293,2.7214,26.1432
08/01/2020,18.7980,20.9175,0.1729,24.6404,2.7084,25.9699
09/01/2020,18.8453,20.9277,0.1722,24.5300,2.7195,25.9946
10/01/2020,18.7732,20.8242,0.1712,24.5431,2.7123,25.8954
13/01/2020,18.8215,20.9342,0.1713,24.4058,2.7308,25.9742
14/01/2020,18.8120,20.9378,0.1711,24.4518,2.7324,25.9723
15/01/2020,18.8077,20.9696,0.1712,24.4726,2.7288,25.9820
16/01/2020,18.7930,20.9720,0.1709,24.5455,2.7304,25.9786
17/01/2020,18.7388,20.8235,0.1701,24.4316,2.7310,25.8711
20/01/2020,18.6725,20.6938,0.1695,24.2696,2.7185,25.7483
21/01/2020,18.7007,20.7699,0.1699,24.4231,2.7078,25.8014
22/01/2020,18.6883,20.7048,0.1699,24.4807,2.7068,25.7726
23/01/2020,18.8018,20.8531,0.1715,24.6755,2.7137,25.9390
24/01/2020,18.8313,20.7794,0.1718,24.6473,2.7165,25.9316
27/01/2020,18.9407,20.8812,0.1739,24.7801,2.7122,26.0670
28/01/2020,18.8022,20.7031,0.1727,24.4692,2.6930,25.8563
29/01/2020,18.7067,20.5802,0.1715,24.3468,2.6868,25.7222
30/01/2020,18.7853,20.7061,0.1725,24.5590,2.6861,25.8469
31/01/2020,18.9082,20.8680,0.1736,24.8198,2.7055,26.0357
04/02/2020,18.6797,20.6476,0.1713,24.3088,2.6695,25.7097
05/02/2020,18.6245,20.5289,0.1700,24.3255,2.6691,25.6165
06/02/2020,18.6645,20.5310,0.1698,24.1948,2.6783,25.6368
07/02/2020,18.7763,20.5647,0.1710,24.2787,2.6825,25.7402
10/02/2020,18.7653,20.5471,0.1709,24.2485,2.6865,25.7283
11/02/2020,18.6740,20.3808,0.1700,24.1380,2.6759,25.5794
12/02/2020,18.6308,20.3299,0.1694,24.1874,2.6730,25.5293
13/02/2020,18.6458,20.2465,0.1699,24.2088,2.6684,25.5090
14/02/2020,18.5712,20.1265,0.1691,24.2001,2.6564,25.3964
17/02/2020,18.5715,20.1139,0.1689,24.1560,2.6592,25.3880
18/02/2020,18.5952,20.1293,0.1695,24.2491,2.6544,25.4179
19/02/2020,18.5910,20.0634,0.1683,24.1441,2.6560,25.3687
20/02/2020,18.7992,20.2966,0.1680,24.1983,2.6723,25.5974
21/02/2020,18.9138,20.4373,0.1691,24.4858,2.6843,25.7683
24/02/2020,19.1197,20.6866,0.1717,24.6721,2.7166,26.0648
25/02/2020,19.0878,20.6854,0.1727,24.7483,2.7164,26.0641
26/02/2020,19.1585,20.8550,0.1734,24.7758,2.7264,26.1920
27/02/2020,19.3973,21.2294,0.1764,24.9614,2.7663,26.5678
28/02/2020,19.7760,21.7368,0.1819,25.4754,2.8286,27.1580
02/03/2020,19.6985,21.9028,0.1831,25.1826,2.8261,27.1633
03/03/2020,19.2837,21.4338,0.1786,24.6552,2.7643,26.5791
04/03/2020,19.5335,21.7769,0.1817,24.9960,2.8230,26.9829
05/03/2020,19.8095,22.1510,0.1853,25.5978,2.8544,27.4148
06/03/2020,20.1623,22.8509,0.1915,26.2332,2.9095,28.0753
09/03/2020,21.1117,24.1233,0.2064,27.6584,3.0381,29.5512
10/03/2020,21.0267,23.8895,0.2009,27.4104,3.0189,29.3051
11/03/2020,21.2130,24.0354,0.2025,27.4072,3.0498,29.5201
12/03/2020,22.1518,24.8953,0.2135,28.2037,3.1567,30.7078
13/03/2020,21.9288,24.4638,0.2052,27.4483,3.1318,30.2213
17/03/2020,23.0573,25.3942,0.2160,27.9305,3.2737,31.5528
18/03/2020,23.9008,26.2335,0.2227,28.4969,3.3923,32.6186
19/03/2020,24.0868,25.8945,0.2192,27.7986,3.3632,32.4638
20/03/2020,24.1113,25.8244,0.2189,28.3440,3.3918,32.5237
23/03/2020,25.0782,26.8487,0.2270,28.9177,3.5135,33.7522
24/03/2020,25.1185,27.2925,0.2265,29.4891,3.5480,34.0260
25/03/2020,24.2948,26.2663,0.2184,28.8719,3.4131,32.8621
26/03/2020,23.0970,25.3132,0.2105,27.6494,3.2516,31.4330
27/03/2020,23.5122,25.8811,0.2161,28.7260,3.3079,32.1103
30/03/2020,24.2853,26.8826,0.2250,30.1466,3.4139,33.2847
31/03/2020,23.4847,25.7122,0.2162,29.0283,3.3035,32.0519
01/04/2020,24.4918,26.8002,0.2277,30.3208,3.4478,33.4536
02/04/2020,24.1087,26.3255,0.2244,30.0045,3.3913,32.9236
03/04/2020,24.6938,26.6755,0.2275,30.2981,3.4712,33.5434
06/04/2020,24.6895,26.6684,0.2262,30.3928,3.4738,33.5337
07/04/2020,24.0388,26.1506,0.2204,29.5449,3.4019,32.7385
08/04/2020,24.0925,26.1873,0.2214,29.7494,3.4069,32.8186
13/04/2020,23.7427,25.9116,0.2197,29.6345,3.3637,32.4347
14/04/2020,23.5645,25.7878,0.2193,29.5699,3.3381,32.2470
15/04/2020,24.1155,26.3040,0.2246,30.1528,3.4128,32.9565
16/04/2020,24.2098,26.3366,0.2249,30.2441,3.4205,33.0427
17/04/2020,23.9012,25.9005,0.2217,29.7462,3.3764,32.5683
20/04/2020,24.0077,26.0832,0.2229,29.9244,3.3888,32.7432
21/04/2020,24.4248,26.4582,0.2274,30.1341,3.4383,33.2540
22/04/2020,24.5883,26.7312,0.2284,30.4034,3.4642,33.5162
23/04/2020,24.6230,26.5350,0.2289,30.4057,3.4714,33.4739
24/04/2020,24.8583,26.7997,0.2310,30.7149,3.5058,33.7999
27/04/2020,24.8492,26.9651,0.2320,30.9323,3.5062,33.8897
28/04/2020,24.3882,26.5380,0.2286,30.4682,3.4441,33.3117
29/04/2020,24.0002,26.0366,0.2253,29.7458,3.3882,32.7345
30/04/2020,23.9283,26.0256,0.2245,29.9343,3.3896,32.6957
04/05/2020,24.3812,26.6572,0.2282,30.2485,3.4225,33.3083
05/05/2020,23.8343,25.8280,0.2233,29.6737,3.3462,32.4834
06/05/2020,24.2942,26.2475,0.2286,30.0616,3.4127,33.0786
07/05/2020,24.0563,25.9652,0.2258,29.7552,3.3840,32.7418
08/05/2020,23.6805,25.6780,0.2227,29.3165,3.3421,32.2937
11/05/2020,23.8693,25.8206,0.2226,29.3986,3.3589,32.4820
12/05/2020,24.0487,26.0580,0.2238,29.6989,3.3883,32.7493
13/05/2020,24.2113,26.3019,0.2263,29.7666,3.4075,32.9932
14/05/2020,24.2708,26.1918,0.2267,29.5982,3.4094,32.9773
15/05/2020,23.9580,25.8998,0.2239,29.2252,3.3620,32.5684
18/05/2020,23.6032,25.5174,0.2200,28.6189,3.3067,32.0587
19/05/2020,23.6023,25.8894,0.2193,28.9105,3.3159,32.2282
20/05/2020,23.2962,25.5187,0.2165,28.5833,3.2759,31.8047
21/05/2020,22.9600,25.2204,0.2131,28.0778,3.2274,31.3607
22/05/2020,22.7928,24.8521,0.2121,27.7742,3.1863,31.0408
25/05/2020,22.5630,24.5790,0.2095,27.5178,3.1570,30.7183
26/05/2020,22.2932,24.4189,0.2071,27.4385,3.1199,30.4261
27/05/2020,22.3633,24.6399,0.2076,27.5874,3.1184,30.5699
